iso3,country,year,scenario,hot_days_proj,hot_days_proj_diff_1981_2010,icing_days_proj,icing_days_proj_diff_1981_2010,trop_nights_proj,trop_nights_proj_diff_1981_2010,hot_days_proj_pct_change_1981_2010,trop_nights_proj_pct_change_1981_2010,icing_days_proj_pct_change_1981_2010,scenario_label,linked_ssp,is_linked_scenario
ARG,ARG,2049,PROJ_SSP245,38.5,15.5,0.9,-0.6,45.3,1.9,67.3913043478261,4.377880184331797,-40.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2049,PROJ_SSP370,38.0,14.9,0.9,-0.7,47.7,4.3,64.5021645021645,9.907834101382488,-43.74999999999999,SSP3-7.0 (high emissions),,False
ARG,ARG,2049,PROJ_SSP585,41.4,18.4,0.8,-0.8,50.6,7.2,80.0,16.589861751152075,-50.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2050,PROJ_SSP126,36.8,13.7,1.1,-0.4,43.0,-0.4,59.307359307359306,-0.9216589861751152,-26.666666666666668,SSP1-2.6 (low emissions),,False
ARG,ARG,2050,PROJ_SSP245,39.9,16.8,0.7,-0.8,44.9,1.5,72.72727272727273,3.4562211981566824,-53.333333333333336,SSP2-4.5 (middle of the road),,False
ARG,ARG,2050,PROJ_SSP370,39.7,16.6,0.7,-0.8,48.7,5.3,71.86147186147186,12.211981566820276,-53.333333333333336,SSP3-7.0 (high emissions),,False
ARG,ARG,2050,PROJ_SSP585,43.5,20.4,0.8,-0.8,49.4,6.1,88.3116883116883,14.087759815242496,-50.0,SSP5-8.5 (very high emissions),,False
ARG,ARG,2051,PROJ_SSP126,37.3,14.3,0.9,-0.6,42.5,-0.9,62.173913043478265,-2.0737327188940093,-40.0,SSP1-2.6 (low emissions),,False
ARG,ARG,2051,PROJ_SSP245,41.8,18.8,0.8,-0.8,47.1,3.7,81.73913043478262,8.525345622119817,-50.0,SSP2-4.5 (middle of the road),,False
ARG,ARG,2051,PROJ_SSP370,44.0,20.9,0.7,-0.8,49.5,6.1,90.47619047619047,14.055299539170507,-53.333333333333336,SSP3-7.0 (high emissions),,False
